True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
access to education particularly for women and girls is expected to lead to lower fertility rates and subsequently slower population growth rates,access to education particularly for women5and girls is expectedpto lead to3lower fertility rates and subsequently slower population growth rates,0.9793103448275862,3,access to education particularly for women and girls is expected to lead to lower fertility rates and subsequently slower population growth rates,1.0,0
virtual reality has been employed in conflict resolution training offering simulations for negotiation skills,virtual reality has been employed in conflict resolution graining offering simulations for negotiation skills,0.9908256880733946,1,virtual reality has been employed in conflict resolution training offering simulations for negotiation skills,1.0,0
chefs are currently experimenting with fusion cuisines to create innovative dishes,chefs are currently experimenting with fusion xuisinesutobcreate innovatine dishes,0.951219512195122,4,chefs are currently experimenting with fusion cuisines to create innovative dishes,1.0,0
bangladeshi platters will offer variety,bangladeshi platters will offer variety,1.0,0,bangladeshi platters will offer variety,1.0,0
grassroots movements call for greater transparency and accountability,grassroots movements call for greater transparency and accountanility,0.9855072463768116,1,grassroots movements call for greater transparency and accountability,1.0,0
freedom empowers bangladeshs youth,freedom empowers bangladeshs youth,1.0,0,freedom empowers bangladeshs youth,1.0,0
they had updated the firmware before experiencing any glitches,they had updated the firmware before experiencing any glitches,1.0,0,they had updated the firmware before experiencing any glitches,1.0,0
historians studied the pyramids significance in ancient egyptian culture,historians studied the pyramids significance in ancient egyptian culture,1.0,0,historians studied the pyramids significance in ancient egyptian culture,1.0,0
time complexity analysis guides the selection of algorithms for efficient computation,time complexityaanalysis guides the selection of algorithms for efficientpcomputation,0.976470588235294,2,time complexity analysis guides the selection of algorithms for efficient computation,1.0,0
the cultivation of aromatic rice varieties caters to domestic and international demand,the cultivation of aromatic ricegvarieties caters to domestic and international demand,0.9883720930232558,1,the cultivation of aromatic rice varieties caters to domestic and international demand,1.0,0
dhakas historic neighborhoods preserved their architectural heritage,dhakas historic neighborhoods preserved their architectural heritage,1.0,0,dhakas historic neighborhoods preserved their architectural heritage,1.0,0
security researchers are exploring emerging technologies to enhance defense mechanisms,sexurity researchers are exploring emerging technologies to emhance defense mechanisms,0.9767441860465116,2,sexurity researchers are exploring emerging technologies to enhance defense mechanisms,0.9883720930232558,1
by 2970 digital access will have become a universal reality,nyl2970 digital acxess will have become a universal reality,0.9491525423728814,3,nyl2970 digital access will have become a universal reality,0.9661016949152542,1
dhaka hosted international conferences and events,dhaka hosged international conferences and events,0.979591836734694,1,dhaka housed international conferences and events,0.9795918367346939,1
womens voices have been contributing to legislative changes for gender equality,womens voixes have been congributingwto legislative changeskfor gender1equality,0.9367088607594936,5,womens voices have been contributing to legislative changes for gender equality,1.0,0
theoretical physicists will be exploring the concept of quantum gravity in higher dimensions,theoretical physicists will bedexplorimg the conxept of quantum2gravity in higher dimensions,0.9565217391304348,4,theoretical physicists will be exploring the concept of quantum gravity in higher dimensions,1.0,0
they inspire perseverance in adversity,they inspire perseverance in adversity,1.0,0,they inspire perseverance in adversity,1.0,0
food manufacturers are reformulating products to reduce sugar salt and fat content,food manufacturers are reformulating products to reduxehsugar salt and fat content,0.975609756097561,2,food manufacturers are reformulating products to reduce sugar salt and fat content,1.0,0
engineers will have optimized amorphous computing for realtime traffic management by 2049,engineers will havewoptimized amorphous xomputing for realtime traffic management by 2049,0.9775280898876404,2,engineers will have optimized amorphous computing for realtime traffic management by 2049,1.0,0
we visited a pumpkin patch and selected pumpkins for our autumn decorations,we visited a pumpkin patch and7selected pumpkins for ourhautumn dexorations,0.96,3,we visited a pumpkin patch and selected pumpkins for our autumn decorations,1.0,0
they will have conducted user interviews to gather insights for website improvements,they will have conducted user interviews to gather insights for wensite improvements,0.988095238095238,1,they will have conducted user interviews to gather insights for website improvements,1.0,0
contextaware visualizations will adapt to user preferences and contexts,contextaware visualizations will adapt to user preferences and contexts,1.0,0,contextaware visualizations will adapt to user preferences and contexts,1.0,0
