True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,my 24809genetic enginewrs wpll ha0efcreated o1babisms capabzz 8f surv9ving kn space without line sbpport,0.8461538461538461,2,my 2480 genetic engineers will have created organisms capable of surviving in space without life support,0.9903846153846154,1
by 2510 the local government will have been investing in green infrastructure for generations,by 2510 thw 0o4ql governmenr zill have bwen invzsrihg ib green infrastructure for generatipns,0.8709677419354839,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,0up0y 1uromstwd factories wilw have becpme rhe standard b9 2w4o,0.7936507936507936,4,oup0y industrial factories will have become the standard now,0.7317073170731707,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,recearchers wilc have un9o2ked 9ew insights ibto cognit9ve 08mputing w82h smorphous computinw by 1049,0.8613861386138614,4,researchers will have unlocked new insights into cognitive computing with sophisticated computing by 2049,0.9320388349514563,1
by 2210 education will have been a seamless blend of physical and virtual realities,by 2210 education 3iol hzve bewn a swampesz bownd crkphysical and virt7al realit8es,0.8313253012048193,3,by 2210 education will have become a complex bound between physical and virtual realities,0.8488372093023255,2
companies will have adopted amorphous computing solutions across industries by 2032,compam8es wilo have ad0pted abotphous co0pu2ibg sol85ions szross insustries by 2p32,0.8192771084337349,3,companies will have adopted abotphous computing solutions across industries by 2032,0.9759036144578314,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,bwz20455the hevxthcare indultryieilc haveibeen lwverat9ng in2eqo0erable inforgati0n for 0verqghree d6csves,0.7735849056603774,2,by 2045 the healthcare industry has been leveraging inequitable information for over four decades,0.8768472906403941,3
by 2650 digital literacy will have become universal bridging the digital gap,bu 2669 xigital lite1acy wio4 habz becomw univsrsaczbridginw thw digital gap,0.8026315789473685,1,by 2669 digital literacy will have become universal bridging the digital gap,0.9736842105263158,1
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,vy 2048 smartlgrid technologiws zill have bwen optinizing whergi cistriburion uhriugh datadriveq ibformatioh inayroperabilitg fo1 thirty years,0.8591549295774648,3,vy 2048 smart grid technologies will have been optimizing where geographic distribution through datadriven information inappropriability for thirty years,0.9152542372881356,3
communities will have embraced digital technology as a catalyst for progress by 2470,com9unigies wicl havs embraced xohitaw vechnklogy as a catalyst foq progress by 2488,0.8452380952380952,4,communities will have embraced xray technology as a catalyst for progress by 2488,0.9212121212121213,2
by 2040 elm will have become a mainstream choice for building frontend web applications,bg 2040 ebm wilm have becomw q msinstream choixw vir muiwcing fr0ntens wev applications,0.8160919540229885,3,by 2040 the government will have become a mainstream choice for moving frontend web applications,0.8852459016393442,2
by 2050 artificial intelligence will have been continuously evolving for several decades,vy 2050 srt9ficial 7nuellkgence will have bwen comjinuj8sly w9olvibg forpseveral dycadws,0.8068181818181818,3,vy 2050 superficial technological advancements will have been successfully evolving for several decades,0.743455497382199,3
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by 2049 anorphous co68uring widl hsve facichtatel breakthroughs ih nwurotechhplogy,0.8414634146341463,2,by 2049 anorphous computing will have facilitated breakthroughs in neurotechnology,0.9878048780487805,1
by 2130 aipowered education systems will have been tailored to each students learning style,by 2130 sipoweued sduca2ion systems wi4l have bwsn taixored to eadh stude8ts leqrning sryle,0.8681318681318682,4,by 2130 software education systems will have been tailored to each students learning style,0.9392265193370166,1
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,researchers wilb havr employewscpbtinjab lwarning techniquec t1 adapr biomedical texu minoyg mode0s 8ve8 time by 2048,0.8376068376068376,3,researchers will have employed warning techniques to adapt biomedical text modes over time by 2048,0.8930232558139535,3
by 2950 every individual will have equal opportunities in the digital realm,b6 2850 every individuzl wikl have equa0woppor7unitiesein the digutsl realm,0.8666666666666667,4,by 2850 every individual will have equal opportunities in the digital realm,0.9866666666666667,1
quantum computing will have decrypted complex codes by 2040,quanrum cob0uthng wilm have devrgpgec somplex codes by 2040,0.7966101694915254,2,quantum computing will have developed sophisticated codes by 2040,0.7741935483870968,1
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 211w floatibh cities will util8ze innovatifezfiltration syatems to s8stain4clesn watwr supplies,0.8673469387755102,3,by 2110 floating cities will utilize innovative filtration systems to sustainable water supplies,0.9484536082474226,2
by 2220 ai will have been deeply integrated into the fabric of education,bu 2220 ai will havw bewn deeply im5egrated inqo the cabric of wducarion,0.875,5,by 2220 ai will have been deeply integrated into the core of industry,0.8652482269503546,2
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,by 2050 3d prinring technol0hy will havz advancex to rhu poimtbof prihving 4umly fubctionaolhunan organs,0.8461538461538461,3,by 2050 3d printing technology will have advanced to the point of providing fully functional humanoid organs,0.9622641509433962,2
efforts to close the digital gap will have borne fruit by 2060,efd0rts t8 cloz1 thr dkgirae gap will have borwe fruig by 2069,0.8064516129032258,3,efforts to close the digital gap will have borrowed from by 2069,0.9047619047619048,2
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,by 20s6 smart traffic 0ansgement systems willdhave been opt8mizing u8ban m8b8lity throughshnterco9nectwd informatiom systegs for thi1ty years,0.8936170212765957,5,by 20s smart traffic management systems will have been optimizing urban mobility throughshnterconnected information systems for thirty years,0.9750889679715302,2
access to digital resources will have become a cornerstone of development by 2760,access tocxigital resogrcea wipl bave become a 2xrnerstone otbdeveoopment bw 2780,0.8395061728395061,2,access to digital resources will be a cornerstone of development by 2780,0.9281045751633987,2
engineers will have integrated amorphous computing into urban planning systems by 2046,eng8meers will habe ihregrated amorphous co9puting inro urbsn planning systens by 2047,0.8837209302325582,5,engineers will have integrated amorphous computing into urban planning systems by 2047,0.9883720930232558,1
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,by 2045 kh0wlwdge disuillation rechniques will havw tomprwsaeckck0plex nodels for erfi0iebu bionwcical text mi9ing,0.7982456140350878,4,by 2045 knowledgeable disinformation techniques will have developed complex node models for identifying biological text mining,0.8083333333333333,4
biomedical text mining will have played a crucial role in personalized medicine by 2030,bioqddical text mining wiw0bhabd ppqyed a5cruckap role in p6rsonalized medicine by 1930,0.8275862068965517,4,biochemical text mining played an accredited role in personalized medicine by 1930,0.8165680473372781,4
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,by 2109 humans will have mit8gated sobe ov the negaqive impacrs of evosu2ionarg mismstches,0.8888888888888888,3,by 2109 humans will have mitigated some of the negative impacts of evolutions mismatches,0.9662921348314607,2
