True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in ahe futu8e susyaihan3e transpi1tagion o8tions wkll st8lb be sogght to easw congectjon,0.8068181818181818,3
china has been actively involved in peacekeeping missions and humanitarian efforts,2hjna has7sern activeky ih9ol0ed ib peacekeeuing miss7knsyakd human8tarian ewforus,0.7804878048780488,1
educational diversity is a hallmark of foreign academic institutions,educational divers9tysus a ha4lmarklofbforeign a8aeemic ihstituti8ns,0.8529411764705882,2
the coach substituted an underperforming player,t8e coaxh s8nztituued an underpe8forming player,0.851063829787234,2
female scientists have played crucial roles in the development of personalized cancer treatments,fejale scientivts have 8layed crucial rolrs in the de7elopment oflpersonaoixed cance8 t1wvtments,0.875,4
aienhanced agricultural robotics will have been automating various farming tasks,aienhanced agricuwtural ronogic8 sill have been automatingrvari0us farming tssks,0.9,3
the sun had been hanging low in the sky as they watched the sunset from the hilltop,thf sun had5neen pannib9 0ow 9n5thessky as thzh datchrd the s7nset fyom the hilktop,0.7831325301204819,3
by next winter snowy conditions will still be causing traffic disruptions,vy nexg wintergsnowy z88ditions will sthlc be caus8bg traffic eisqupvilns,0.8082191780821918,4
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,sc8entusjs will have bezn ceveloping more efficiwnt 9euhods 0f sperm selextionrthrough awsisted4reprodhdtiae technology,0.865546218487395,4
by the time the new semester starts students will have been preparing with online tutorials,by the tim0wthr new swmester starrs st8denus w9lkehave been preparing wigh onzinecruujriaks,0.8131868131868132,3
influencers will collaborate with brands on shoppable content experiences,influebdzrs will collaborateawith nrands xn shop0able conrent ezpe1iences,0.863013698630137,2
carbon offset programs will encourage individuals and businesses to mitigate their pollution,caqbon offset p1ograms willaencohrage ind8vhduals and1busonesses to migigate the9r pollu5ion,0.8804347826086957,3
version control systems like git help track changes in web development projects,bzrsionzcont1ol sisrwms likebgit hezp tqack changes in web developmenu7projecgs,0.8354430379746836,2
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,deve0opers wjll hav0 created immerzi8e virtual tourisn exper8en1rs with amorphous co0puging ny 2059,0.8686868686868687,4
the fishermen had caught a variety of fish including bass and perch,the fishernen had caught a variwtgbof yish 88clud8ng basa andpperch,0.8507462686567164,2
fighters are promoting environmental sustainability initiatives,niwhters are promotinw en0i1onms3tav susta8nabkl8tmkinitiatives,0.7936507936507936,2
she served an ace down the line leaving her opponent stunned,she werved a7 ace down uhe 3inevleabi8g h0r opwonent at8nned,0.8166666666666667,2
by the end of the semester i will be grading a stack of essays,by the end ov0the semester i will be guad9ng a vtack of esv1ys,0.8870967741935484,4
the author was conducting research for his next historical fiction novel,the 6uthof wss xkhdhxti9g rwsea1ch f0r his next historical fixti8n novel,0.8055555555555556,2
aidriven dynamic pricing will adjust in realtime,ai2r9ven synamic pricizg will aej8zt in5rea3timz,0.7916666666666666,2
facial recognition systems will enhance public safety measures,fachal recognirgon3systems w8lb enhance public sazety measurws,0.8709677419354839,2
the cars radio antenna got bent,the lsrszradi8 antevna gog 4eng,0.7419354838709677,1
we repaired a dent in the rear bumper,se repa8red a crnt inathe rear bumprr,0.8378378378378378,3
incident response teams are swiftly addressing security breaches as they occur,in4idenr respcnsw teams are swh9tly addresq9ng securggy breacheskas ahey iccur,0.8333333333333334,2
deep learning models will have been assisting in wildlife tracking and conservation,deepqmearning mkdels wi1l habe newa assistobg on wild2ofe gracking and xonservation,0.8192771084337349,2
engineers will have been finetuning the network infrastructure for months,enginee1s 3ilk have been fibetuning jhe netwkrk infrasuructure dur m8bths,0.8493150684931506,2
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vr techkologhes have bewn utilgzed in therapy f0r individuals with ashd provgdihg focusenhancing exp1rieqces,0.9074074074074074,5
chatgpt will be evolving continuously,chatgpt willxve evolving continuously,0.9459459459459459,1
they had been charging their ipad overnight before it stopped holding a charge,the7 hadbbeen chargikg uheirqhpad overn9ght be4ore it stopped h8lding aacharge,0.8717948717948718,2
scholars studied the engineering techniques used to build the pyramid,scholars studied the enwineerung gechniques used to build the pyrvbix,0.9130434782608695,2
they have been sharing interesting articles on facebook lately,uheythale been sharing inte1estizg artickes on faczbo8k lately,0.8709677419354839,3
students will have been accessing educational resources from anywhere in the world,sgudznts wicl have been acxessing educational resxurces grom an0whyre 8n uhe world,0.8780487804878049,3
fighters are overcoming injuries to compete at the highest level,fgghters aqe overcoming injur8es to compete qt the highest lrvel,0.921875,4
designers have integrated rainwater management systems to control runoff and erosion,5esigners have intewrated ra8nwate1kmanagemebt systems to cont8o9 ronofr andg5rosion,0.8452380952380952,3
upandcoming promotions are leveraging blockchain for transparent and secure transactions,u8andcom7wgbpromotions arr leverqging almckchain wpr transparent ahd secure5t1qnsavrionz,0.8068181818181818,2
she had prepared a fish en papillote with vegetables and herbs,she had prepa1ed a fish en papil9ore zith vegrtanles and herqs,0.8870967741935484,3
efforts to eliminate genderbased stereotypes in media representation have been ongoing,e9f0rts tokeliminate gend4rbqsed stereotypes in media 8wpresentstioh have4meen ongoing,0.872093023255814,2
he used to drink several cups of coffee a day but cut back on caffeine,he used to drink severso cupa jfgxo9fee a day bhj cnt back kn caffwibe,0.7857142857142857,3
she smashed the shuttlecock crosscourt leaving her opponent stranded,shs zmashed the sh8ttlecock x1osscourt leavihw her owponent strandzd,0.8676470588235294,3
by next year they will have been practicing yoga for eight years,vy nwxt grar they wixl have been prvxt8cung yoga f8r eight years,0.828125,4
vr has been utilized in therapy for individuals with eating disorders promoting positive body image,xq has been utizizew ih therapykfo1 ineividuals ehth earing dizorders promotiny posit8ve body4imagw,0.8383838383838383,2
the chef had cooked a seafood paella with saffroninfused rice and chorizo,uhe chef had co0ked s seafood pael0awwith saffroninvused 8gceo0nd xhorizo,0.8493150684931506,3
in a month they will have been studying marine biology for six years,infa monthdthey wilo have neen sv8dy8ng mar7be aiology for six wears,0.8382352941176471,3
developers have created games that promote positive social interactions and cooperation,developzrs have createsygamws uhaj promo5e pos8rive 8ocial interadtio7s and xoope2ation,0.8390804597701149,3
he attended a lecture series on islamic jurisprudence at the mosque,he aytehded a 2edture 1eries on islamic jurisprudendexat the mksque,0.8805970149253731,4
scientists are developing methods for the selective functionalization of molecules,sxientists are de9eloping methods for thw se4ect5ve funxtionalizauion of mojecgles,0.8902439024390244,4
in the future robotic surgical systems will have been empowering surgeons to perform increasingly complex procedures,i9 the gutu1e robot8c s8rgicsl systems wolo havehbeen empuwerin9 surgeobs go perfowm7increasingly xom0lex procedu8es,0.8448275862068966,3
they were sleeping with the curtains drawn to block out the light,they wer1 skeeping wighsthe durta7ns drawm to blos9 out ghe light,0.8461538461538461,3
farmer cooperatives play a vital role in negotiating fair prices for agricultural products,daqmzr dooperativewzpoau a vita8 roce in negotiating fair prices for agricultural pridyxts,0.8555555555555555,3
they had practiced various badminton techniques with precision,rhey hax practicex va1ikus vadmint9b techniques wiuh precision,0.8548387096774194,2
over the years women scientists have made significant contributions to astronomy,onet the years women sc8entistsfha3e madw sihnificant3contrhbugions ti astron0my,0.85,2
arpowered navigation will guide shoppers to specific products,aquowered naxigst88n w7lb gu8de shoppers to s8eckw8c p1odhcts,0.7540983606557377,2
the judiciary imposes penalties on convicted corrupt individuals,the judiciary imposes wwnalt91s o9 xknvicted corrupt indibiwuams,0.84375,2
international collaborations have been addressing issues of refugee displacement and migration for lasting peace,intrrn8tio7so collabo1at8ons have neen axdressihh iwsuesuof re9ug4e5dosplacyaent qnd migrat9obdfkr casting peace,0.7767857142857143,2
agricultural cooperatives facilitate joint procurement of inputs and marketing of products,agricultu8algcoo0erativts facioigate joint procu8emeqt of hn8uvs and marketing of p1oducts,0.8666666666666667,4
many youtubers have been using the platform to raise awareness about social issues,mang goutuaeqs2have been using the platform tk raise awareness 5bout aocial issuev,0.8902439024390244,3
next year i will be cutting down on my consumption of saturated fats,next uear i whll2be cuttiwg down on my7conshnpt7on of saturate1 fats,0.8676470588235294,4
the telescope detected the presence of a dust disk around a young star,the gzlesvope detzctedpthe prwwynxe of a cusg diskdsround a young9star,0.8,3
chatbots will assist with postpurchase support,chavbots wicl assist withwposupur0hase shpport,0.8695652173913043,2
he lost control of the vehicle and veered off the road,k0 xost contrll pf rhe vehic4e ans veered onf the qoad,0.8148148148148148,2
i was sleeping with my arms wrapped around a pillow,i zas sleeping whth my arms wrap0ed a1ound s wi0lod,0.8431372549019608,3
researchers have been studying the concept of dna hybridization a technique used for detecting specific dna sequences,resea1xhers have be1n stueying the loqcept of xna hymrjdizarion a technique used fo8 deuecting specific dna sequences,0.8974358974358975,5
students build a diverse network of friends and colleagues during foreign education,studznrs build a diverse network of 4riends and comoeagues cu8ing wore8gn eduxation,0.8795180722891566,3
influencers will become educators providing insights and expertise to their followers,8nfluzncers wicl become educaui8s pqkviding insights and expe1tise ti their wokluwe1s,0.8352941176470589,4
storytelling through data visualization will engage audiences on a deeper level,vto8gtellinuqthrouah eara vhsualizagion wilo engage aud9eaxea u8 a deeper0levrl,0.759493670886076,3
many have been incorporating balance exercises into their routines for stability,many4have veen incorporating baovndz exw8cises into their3rougines for stability,0.875,3
in the next age robotassisted surgery will have been pushing the boundaries of what is achievable,in the next age qoborassistwd surgery will ha9e beel pushi0g the b7undariev or 3hat iz7achievable,0.8762886597938144,3
i have been updating my facebook story highlights with memorable moments,i have neev jpxat9ng my fac1book story h9whlights zith3mw9orable momentz,0.8194444444444444,3
quantum physicists will be experimenting with quantum teleportation of complex systems,quahtum physirists wiol be rxperigenting wuth quzwtum telep8rvat9on 0f complex sgstems,0.8488372093023255,3
we were analyzing the impact of a novel on social consciousness,we were abalyzing the impact of a novel oh8soxial consc8ousness,0.9206349206349206,2
they celebrated each others successes with genuine happiness,they 1elev1ated each oghers wuccesses with gen88nr happi9ess,0.85,3
virtual assistants will integrate with wearable devices to provide onthego assistance,w81gnal assisrants wgll dntwgrate with wea8abke devices tk p20v9deninthego asvistance,0.788235294117647,3
ethical hackers will simulate advanced persistent threats to test defenses,eth8cao hackers wull8p8mulat1 acvancwd4persisteqt threats to t1se cefens8z,0.7837837837837838,3
she thanked her friend for always being a good listener,she thankev her0frieqd foq alwaws behnv a g8od lisvebeq,0.8,2
property managers have implemented green building practices for sustainable property management,pro8e8ty manqgers have implenented grwen vuildiv9 prqwtizes fwq susgaonable pro8e1ty 9anagement,0.8105263157894737,2
the team will have been collaborating with external partners for a long time,the vwam z8ll habe heen collqborat7mg with2externac partners for a bong uihe,0.8157894736842105,2
they had organized a fundraiser to build a playground for children with disabilities,they ha4 0rganized q fun21aiser to auild a0playground for 1hiwcren w9thcdgsabil8ries,0.8214285714285714,3
