True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in the future sustainable tfanspoftation options will st8ll be sought to ease congest8on,0.9545454545454546,3
china has been actively involved in peacekeeping missions and humanitarian efforts,china has been actively involved in peacekeeping missions and humanitarian efforts,1.0,0
educational diversity is a hallmark of foreign academic institutions,edycational divefsity 8s a hallmafk of fofeign academic institutions,0.9264705882352942,3
the coach substituted an underperforming player,the coach substituted an yndefpefforming playe5,0.9148936170212766,1
female scientists have played crucial roles in the development of personalized cancer treatments,female6scientists have played cfucial roles in the development of personal8zed cancef treatments,0.9583333333333334,3
aienhanced agricultural robotics will have been automating various farming tasks,aienhancedragriculturaljrobotics will havepbeen automating various fafming tasks,0.95,3
the sun had been hanging low in the sky as they watched the sunset from the hilltop,thebsun had been hangingzlow in the5sky as theypwatched the9sunset ffomtthe hilltop,0.9156626506024096,4
by next winter snowy conditions will still be causing traffic disruptions,vy next w8ntef snowy conditionsywill stillybe causing tfaffic disruptions,0.9178082191780822,4
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,scient8sts will have been developing more efficient methods of sperm selection thfoygh assisted repfoductive technology,0.9663865546218487,3
by the time the new semester starts students will have been preparing with online tutorials,by the time the new semestef starts stydents will have been pfepa5ing with online tutofials,0.945054945054945,4
influencers will collaborate with brands on shoppable content experiences,influencefs will collabofate with b5ands on shoppable content expefiences,0.9452054794520548,4
carbon offset programs will encourage individuals and businesses to mitigate their pollution,carvon offset pfogfams will encoyrage individuals and vus8nesses to mitigateutheirzpollution,0.9130434782608695,5
version control systems like git help track changes in web development projects,vefsion control systems like git help tfack changes in wev development projects,0.9620253164556962,3
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,developefs w8ll have created immefsiveyvirtual tourism experiences with amorphoys computing by 2049,0.9494949494949495,3
the fishermen had caught a variety of fish including bass and perch,the fishefmen had caught a variety of fish 8ncluding bass and perch,0.9701492537313433,2
fighters are promoting environmental sustainability initiatives,fighte5s afe pfomot8ng environmental sustainav8lity initiatives,0.9047619047619048,2
she served an ace down the line leaving her opponent stunned,she served an ace down the line leaving hef opponent stunned,0.9833333333333333,1
by the end of the semester i will be grading a stack of essays,by the end of the semestef i6will ve gfading a stackfof essays,0.9193548387096774,2
the author was conducting research for his next historical fiction novel,the author was conduct8ng fesearch fof his next historical fict8on novel,0.9444444444444444,2
aidriven dynamic pricing will adjust in realtime,aidfiven dynamic p5icing w8ll adjust in fealtime,0.9166666666666666,3
facial recognition systems will enhance public safety measures,facial recognit8on systems willhenhance pyblic safety measufes,0.9354838709677419,3
the cars radio antenna got bent,the cafs radio antenna got bent,0.967741935483871,1
we repaired a dent in the rear bumper,we 5epa85ed a dent5in the fear bumper,0.8648648648648649,3
incident response teams are swiftly addressing security breaches as they occur,incident response teams a5e swiftly addressingdsecufity breaches as they occu5,0.9487179487179487,3
deep learning models will have been assisting in wildlife tracking and conservation,deep leafning models will have0been assisting in wildlife track8ng and consefvation,0.9518072289156626,4
engineers will have been finetuning the network infrastructure for months,engineerswwill have been finetuning the netwofkvinffastfucture for months,0.9315068493150684,2
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vf technologies have veenyutilised in therapy fof3individuals withpadhd providing focusenhancing expefiences,0.9259259259259259,4
chatgpt will be evolving continuously,chatgpt will be evolving continuously,1.0,0
they had been charging their ipad overnight before it stopped holding a charge,they had been charging their ipad ovefnight before it9stopped holding a chafge,0.9615384615384616,3
scholars studied the engineering techniques used to build the pyramid,scholafs stydied the eng8neefing techniqyes used to build the pyfamid,0.9130434782608695,3
they have been sharing interesting articles on facebook lately,they have been sharing intefesting5afticles on facebook lately,0.9516129032258065,1
students will have been accessing educational resources from anywhere in the world,students will have been accessing educational fesources ffom anywhere in the world,0.975609756097561,1
fighters are overcoming injuries to compete at the highest level,fighters are overcoming inju58es to competeiatythe highest level,0.9375,2
designers have integrated rainwater management systems to control runoff and erosion,designefs have integrated rainwatef4management systems to contfol 5unoff and erosion,0.9404761904761905,3
upandcoming promotions are leveraging blockchain for transparent and secure transactions,upandcoming p5omotionsya5e levefaging blockchain fo5 tfanspafenttand secufe t5ansactions,0.8863636363636364,2
she had prepared a fish en papillote with vegetables and herbs,she had prepafed a fish en papillote with vegetables and herbs,0.9838709677419355,1
efforts to eliminate genderbased stereotypes in media representation have been ongoing,effofts to el8minate gendefbased stefeotypes in med8a fepfesentationbhave been ongoing,0.9069767441860465,3
he used to drink several cups of coffee a day but cut back on caffeine,he used to drink seve5al cups of coffee a day vut cutlback on caffeine,0.9571428571428572,2
she smashed the shuttlecock crosscourt leaving her opponent stranded,she smashed the shuttlecock cfosscourt leavingehef opponent stfanded,0.9411764705882353,2
by next year they will have been practicing yoga for eight years,by next yeaf theyuw8ll0have been pfacticing yoga fof e8ght yea5s,0.875,3
vr has been utilized in therapy for individuals with eating disorders promoting positive body image,vf hasxbeen utiliaed in thefapy for individuals w8th eating disorders promoting pos8t8ve vody image,0.9191919191919192,4
the chef had cooked a seafood paella with saffroninfused rice and chorizo,the chefdhad cooked a seafood paella with saffroninfused fice and cho5iao,0.9452054794520548,3
in a month they will have been studying marine biology for six years,in a month they will have been studying mafineav8ology fof six yea5s,0.9117647058823529,2
developers have created games that promote positive social interactions and cooperation,developefs have cfeated games that pfomote posit8ve social intefactions and coopefation,0.9310344827586207,5
he attended a lecture series on islamic jurisprudence at the mosque,he attended aolecture se5ies on islamic jyrisprudence at the mosque,0.9552238805970149,2
scientists are developing methods for the selective functionalization of molecules,scientists afe develop8ng methodstfor the selective functionalization of molecules,0.9634146341463414,1
in the future robotic surgical systems will have been empowering surgeons to perform increasingly complex procedures,in the future fobotic surgical systems will have been empowef8ng surgeons to6pe5fo5m 8ncfeasingly complex pfocedu5es,0.9137931034482759,4
they were sleeping with the curtains drawn to block out the light,they were sleeping with theacyrtains drawn to9block out the light,0.9538461538461539,2
farmer cooperatives play a vital role in negotiating fair prices for agricultural products,farmef coopefatives play a vital fole ininegotiating fair pfices for ag5icultural pfoducts,0.9222222222222223,4
they had practiced various badminton techniques with precision,they had pfact8cedpvafious2badmintonhtechniques with precision,0.9032258064516129,1
over the years women scientists have made significant contributions to astronomy,over the yea5s women scient8stsuhave made s8gnificant contr8vutions to astfonomy,0.9125,4
arpowered navigation will guide shoppers to specific products,afpowefed navigation w8ll7guide shoppefs tobspecific pfoducts,0.8852459016393442,2
the judiciary imposes penalties on convicted corrupt individuals,the judiciafy imposes penalties on convicted cofrupt indiv8duals,0.953125,2
international collaborations have been addressing issues of refugee displacement and migration for lasting peace,international collavorations have been add5essing issues of 5efygee displacement and migration fof lasting peace,0.9553571428571429,4
agricultural cooperatives facilitate joint procurement of inputs and marketing of products,agficyltufal coope5ativeswfacilitate joint pfocufement of inputs andmmafketing of products,0.9,3
many youtubers have been using the platform to raise awareness about social issues,manypyoutubefs have been using the platfofm to raisefawareness avout social issues,0.9390243902439024,3
next year i will be cutting down on my consumption of saturated fats,next year i will be cutting down on my consumption of6satufated fats,0.9705882352941176,1
the telescope detected the presence of a dust disk around a young star,the telescope3detected the pfesence of a3dust disk around a young star,0.9571428571428572,3
chatbots will assist with postpurchase support,chatbots will assist w8th postpyrchase syppoft,0.9130434782608695,1
he lost control of the vehicle and veered off the road,he3lost control of the vehicle and vee5ed off the road,0.9629629629629629,2
i was sleeping with my arms wrapped around a pillow,8 was sleeping with mynafms wfappedrafoynd app8llow,0.8235294117647058,2
