True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,b6 d588 gebetpz eng8nee5qce8ko0have c5eated o5tan8sms ca8abqe p5 su5vjajng pn apace e8th0ut k85e au8po5t,0.625,1,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,by q5s8 the a0cap gkme58mebt w8ak have beebykbveatkng 8b g5een 8n55aat3uc6y3e 5k5 gene3a6kons,0.5913978494623656,3,by 2510 the local government will have been investing in green infrastructure for generations,1.0,0
fully automated factories will have become the standard by 2040,5uopy au5pmatee 5act85peaywjko habe bec0me the a5anea5e n8 q048,0.5714285714285714,2,5uppy  amateur 5000  became  the  greatest,0.4380952380952381,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,3eaea5chers w8pq have 8bpockes new 8na8gh6s kn58 zoin8tjve com8utj8g w8th am03phpus0zpmput8ng bu d858,0.5544554455445545,3,3eaea5chers w8pq have 8bpockes new 8na8gh6s kn58 zoin8tjve com8utj8g w8th am03phpus0zpmput8ng bu d858,0.5544554455445545,3
by 2210 education will have been a seamless blend of physical and virtual realities,byw4d18 eeucatppn w8qa have veenba aeamkeaa bpenda05 phys8cak ansfv83t8aq 5eapptpes,0.5783132530120482,2,by 2560 the government will have been investing in public transportation for a sustainable future,0.4111111111111111,3
companies will have adopted amorphous computing solutions across industries by 2032,cpmpanpeq e8oq have aeoptee amorohpus z0mp8t8ng q8kut808s ac5kaa pne8qtrjea vu 483d,0.5662650602409639,2,cpmpanpeq e8oq have aeoptee amorohpus z0mp8t8ng q8kut808s ac5kaa pne8qtrjea vu 483d,0.5662650602409639,2
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 20e5 the heaqthza3e jne8at5yrwpao hame veen peae5agpng p8te50pe5avke kn5o5mat88n 5o3 oae5 5h3ee decaees,0.6415094339622641,2,by 2050 the healthcare industry will have seen a significant increase in the number of patients,0.6467661691542289,2
by 2650 digital literacy will have become universal bridging the digital gap,bu q750 dpg8taq k8te5ac6 wjak have becpme 8npbe5saqeb58et8bi the e8iktaa gap,0.6052631578947368,3,bq 2500 genetic engineers will have created organisms capable of surviving in the gap,0.484472049689441,3
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,bu 3058 ama5t g5ke techbkkkg8ea4wppa haae veen 0qtjm8zpng energy epst5jbutk0n3th50ugh satas58ven 8bek3mat8k8 jbterppe5ab8qkty e85 th8rt8 8ea5a,0.5563380281690141,2,bu 3058 ama5t g5ke techbkkkg8ea4wppa haae veen 0qtjm8zpng energy epst5jbutk0n3th50ugh satas58ven 8bek3mat8k8 jbterppe5ab8qkty e85 th8rt8,0.5467625899280576,2
communities will have embraced digital technology as a catalyst for progress by 2470,ckmmu8ktkea w8oq habe emb5azee eji8taq 5echnpa8iy as agcataqyst 50r prkg5eqa n6 3580,0.5952380952380952,2,ckmmu8ktkea w8oq habe emb5azee eji8taq 5echnpa8iy as agcataqyst 50r prkg5eqa n6 3580,0.5952380952380952,2
by 2040 elm will have become a mainstream choice for building frontend web applications,by d848teqm w8qp haaesvec8me a ma8nq55eam2chk8zes5pr nupqe8ng 538ntend wensapopjcat80na,0.5632183908045977,2,d848teqm w8qp haaesvec8me a ma8nq55eam2chk8zes5pr nupqe8ng 538ntend wensapopjcat80na,0.5380116959064327,2
by 2050 artificial intelligence will have been continuously evolving for several decades,b6 3858 a3tk58zjaq knteqakgenzexwjka hame been c8n68nuousqy ev0kbpng ekr seme3ap eecases,0.5909090909090909,2,b6 3858 a3tk58zjaq knteqakgenzexwjka hame been c8n68nuousqy ev0kbpng ekr seme3ap eecases,0.5909090909090909,2
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by q848 am85ohoua z8mp8tj8g w8po habe 5ac8q8ta5eslb5eakthroughs pn neu58techn8qpgy,0.6463414634146342,1,by q848 am85ohoua z8mp8tj8g w8po habe 5ac8q8ta5eslb5eakthroughs pn neu58techn8qpgy,0.6463414634146342,1
by 2130 aipowered education systems will have been tailored to each students learning style,vy 3w30 a8qpwe3ed eeucat8kn systema wkqq haaerbeen tappp5ee t8 each atueents pearnjnilst6pe,0.6813186813186813,2,vy 300 a8qpwe3ed eucat8kn syst6m4a wqq haaerbeen tappp5ee 3each atueents peernjnilst6pe,0.651685393258427,1
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,5eaea5chera wpok havebemopoyeeockntjnuaq qearnpnt tezhnjques t8 asapt b8pmes8cap 6ect m8n8ng mpdeas pve3 t8me bu 2843,0.6752136752136753,1,5eaea5chera wpok havebemopoyeeockntjnuaq qearnpnt tezhnjques t8 asapt b8pmes8cap 6ect m8n8ng mpdeas pve3 t8me bu 2843,0.6752136752136753,1
by 2950 every individual will have equal opportunities in the digital realm,b6 q858 eve5y 8ns8vpeuak ekko hame equao0opop5tybk68es 8n the epgj5ak 5eakm,0.56,2,b6 q858 eve5y 8ns8vpeuak ekko hame equao0opop5tybk68es 8n the epgj5ak,0.5277777777777778,2
quantum computing will have decrypted complex codes by 2040,qyabtum ckmpu6p8g e8qp hame3secryp5es zom8pec codea b8 q040,0.6440677966101694,1,qyabtum cpmpu6p8g e8qp hame3secryp5es zom8pec codea b8 q040,0.6440677966101694,1
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 2q28 5ppatpng c8t8ea ekpp ut8qkze pnnovat8ve 58kt5atp88 sys5ema tp aus5apn cpean ea5er aupppjea,0.6122448979591837,1,by 2q28 patenting the technology to be used for peaceful purposes only,0.40476190476190477,2
by 2220 ai will have been deeply integrated into the fabric of education,b8 qdd0 ak ejqo have been deepqu pnteg5ateecpntp the 5av5pc 05 ee8zatpkn,0.6111111111111112,3,b8 qdd0 ak ejqo have been deepqu pnteg5ateecpntp the 5av5pc 05 ee8zatpkn,0.6111111111111112,3
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,vu 3058 3d 85pn5k8i 5echnppkgy wpqq haae aeva8cee to the ppkn5 o5 p5pbtpng 5uaky 5unct8pnao human o3tans,0.6346153846153846,4,vu 3058 3d 85pn5k8i 5echnppkgy wpqq haae aeva8cee to the ppkn5 o5 p5pbtpng 5uaky 5unct8pnao human o3tans,0.6346153846153846,4
efforts to close the digital gap will have borne fruit by 2060,e550rta t8 cqpae the epg8taq iap e8pq have5b03ne 53ujt by 2858,0.5806451612903226,3,e550rta the 548pq have 53803ne 538ujt by 2858,0.4672897196261682,4
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,b8 d0e6 sma56 53a55jz ma8agemen6 systema wpkquhame beeb opt8mjz8ngvu5banrm8b8qpty thrp8gh 8n5e5ckn8ectee 8n5p5matkpn systemq 505 5h85ty years,0.6382978723404256,1,d8 f0r8m8 the 5ystem 8am 8e85 0nly 1n1c8d 5ystem 8h3 0n5p5e 8n5e5ckn8ectee,0.26046511627906976,1
access to digital resources will have become a cornerstone of development by 2760,accesa 68 e8gptaa95eqpu5zea wpqa haae beckme a c85ners6p8e 85 eevekoqmebt by 4860,0.6049382716049383,3,access 686789eetapu5zea wpqa have be8ckme a c85ners6p8e 846evekoqmebt by 4860,0.5822784810126582,4
engineers will have integrated amorphous computing into urban planning systems by 2046,eng8nee3a wjkq have kn6eg5atee am05phouq com8u68ng j860 y5ban paannpng s8stems v8 4856,0.6627906976744186,2,eng8nee3a will have knowledge about 4856,0.42857142857142855,2
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,bu 3045 kn0wqeegelepat8koatjpbr5echnkquea epkk have comp5eqses compkec mpeeks 5pr eee8cke85 bjomeekcaq tect mpnj8g,0.5789473684210527,2,b4 2480 genetic engineers will have created organisms capable of surviving in space without life support,0.3944954128440367,2
biomedical text mining will have played a crucial role in personalized medicine by 2030,b80mespcap 6ex6 m8npng wpqk have pkayee a c5uc8aq 5koe 88 pe5spnapjzee meepc8ne5bu 4030,0.6206896551724138,3,b80mespcap 6ex6 m8npng wpqk have pkayee a c5uc8aq 5koe 88 pe5spnapjzee meepc8ne5bu 4030,0.6206896551724138,3
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,vy 2s88 humabs ejqa habe m8tpgated aome oeothe negat8be 8mpacta 05 emopy68ona5y m8amatches,0.6777777777777778,1,vy 2s88 humabs ejqa habe m8tpgated aome oeothe negat8be 8mpacta 05 emopy68ona5y m8amatches,0.6777777777777778,1
by 2130 deep learning will have been enhancing global communication networks,vy dw38 eeeo kea5njbg ekqa hame neebhe8hanck8i gqpbak cpmmu88catp88 betw05ks,0.5657894736842105,1,vy  did not make  the  correct  spelling,0.1896551724137931,1
