True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,my 2c80 gehe5ic engibder5 wi1k hsve crsaqes prqanismzocapavxe of6surviving in space with8ut life sjppoqt,0.7692307692307693,3,my 2480 genetic engineers will have created organisms capable of surviving in space without life support,0.9903846153846154,1
by 2510 the local government will have been investing in green infrastructure for generations,by 251a the lo8ab gpvernmebt qi1c hqvw hten inawsting iv g1een infr1s5rjcqure f8r heneratkons,0.7526881720430108,2,251a,0.08247422680412371,1
fully automated factories will have become the standard by 2040,fu1lg autjm1red facqor8ws w8ll havz beco0z rhw sqabdqrs by 2050,0.6984126984126984,2,fu1lg autjm1red facqor8ws w8ll havz beco0z rhw sqabdqrs by 2050,0.6984126984126984,2
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,rwswarcheqq wilb hxve uboocked new inzihqus intifcogm88i7e computing with aqo8ohous compuqivgzv6 1049,0.7425742574257426,3,rwswarcheqq wilb hxve uboocked new inzihqus intifcogm88i7e computing with aqo8ohous compuqivgzv6 1049,0.7425742574257426,3
by 2210 education will have been a seamless blend of physical and virtual realities,8g 2280 eduwat8ob whlc have been a sw8qsess b2end uf physical amd viru6al 9eak8t8es,0.7590361445783133,3,8g 2280 education will have been a success for physical and virtual reality,0.8354430379746836,3
companies will have adopted amorphous computing solutions across industries by 2032,cpmpan8es eild havx2awoptwd amo8pho8s cllpuring5skbutiins scrpss 7ndustriws b5 2038,0.6746987951807228,1,cpmpan8es eild havx2awoptwd amo8pho8s cllpuring5skbutiins scrpss 7ndustriws b5 2038,0.6746987951807228,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,mu 2b45 theqheacthcare incubtry ehml hav9 bezq k1vz1vvi8g interooe8ab0e info1qatiow for l911 bqree cecadww,0.6698113207547169,2,mu 2b45 the healthcare incubator has been investing in innovative information technology for large business growth,0.5818181818181818,5
by 2650 digital literacy will have become universal bridging the digital gap,by 2650 digival wirerady w8l0 have becomw universaw bridging rge cigita0 gsp,0.8289473684210527,3,by 2650 digital warriors will become universal bridging researchers,0.7272727272727273,3
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,b8 2048 s7art grid r5chnologies wizl have befn wptimkzh8h emergy cist8ibbci8n tkr8hhh datadr9bwn hb98rosthon 8nter8heravicity fdr rhirty 6ears,0.7253521126760564,4,b8 2048 sustainable grid technologies with been prioritized for emergency restoration on the brink of 6ears,0.5461847389558233,5
communities will have embraced digital technology as a catalyst for progress by 2470,eomeuhities w9o9 ha6y emqracwc sigitsl texhvwoohn as a cxvax9st fwr wrxgress vy 2470,0.6785714285714286,2,cryptography,0.125,1
