True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in the fu5u56 sustainabke t5ansoo5t8tion oitionskhikk ftikk be souhht to e8fefconhestion,0.75,3
china has been actively involved in peacekeeping missions and humanitarian efforts,chin8 h8s be4njactivekh invokv4f in neac4k4eiinh8missions an3 humanita5ian ehfo5ts,0.7560975609756098,2
educational diversity is a hallmark of foreign academic institutions,e3hcationak sive5sity is 8 hakkmarkjof fo56ihn 8caf6mic in3titu5ions,0.75,2
the coach substituted an underperforming player,th6 coach fuhstitut6s an un345ne53orminh 9kaye5,0.6808510638297872,3
female scientists have played crucial roles in the development of personalized cancer treatments,femake scientis5s h8ve 9kah6d c5uciak15okes in the devekooment oh ne5son8kik6s cance5 55eatments,0.7395833333333334,2
aienhanced agricultural robotics will have been automating various farming tasks,ai4nhanced ah5icuktu5ak 5ohotics 3ikk hav6 been 8utomatinh va5ioif ha5mint t8sks,0.7375,2
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the sun h8d heen h8nhinh koh in the skywas theh 3atchef the suns6t f5om themhikktoi,0.7951807228915663,3
by next winter snowy conditions will still be causing traffic disruptions,hy n6kt 3in565 sno3h consi5ions 3ikk stikk be causinh t5af3ic fis5uitions,0.6986301369863014,2
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,sci6ntis5s 3ikk have he6nlsev4koiint mo5e efficient methods of sie5m 3ekection th5ough assistes r495o3uctive 5echnokohy,0.773109243697479,3
by the time the new semester starts students will have been preparing with online tutorials,hh the 5ime th6 ne3 semes5e5 3t85ts ftid4nts 3ikk have heen o5enarinh 3ith onkine tuto5iaks,0.7032967032967034,3
influencers will collaborate with brands on shoppable content experiences,infkuence5s 3ikk cokkabo5ated3ith4b5anfs on sho998hk4 conten5bek9e5ience3,0.6575342465753424,2
carbon offset programs will encourage individuals and businesses to mitigate their pollution,ca5hon of3set0n5ohrams 3ikk encou5ahe insivi3uaks anf bisin4ffes to mitig8te thei5 iokkution,0.7282608695652174,2
version control systems like git help track changes in web development projects,ve5sion cont5ok shstemf kike hit hekn t5ack changes in 3eh deveko9ment orohect3,0.7848101265822784,2
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,fevekone53 3ikk have c5eat436imme5fiv6 virtuak tou5ism ex9e5i4nce3 3i5h 8mo5ohouf com9hting hy 1o49,0.6767676767676768,2
the fishermen had caught a variety of fish including bass and perch,the fish65m6nfhaf cauhht a va5ieth of fish incku3inh hass ans i45ch,0.7611940298507462,3
fighters are promoting environmental sustainability initiatives,3ihht653 a5e o5omotinh 4nvi5onm6ntak sustainabikitheinitiativef,0.7301587301587301,1
she served an ace down the line leaving her opponent stunned,fhe se5vef an acey3o3n the kine keavint h45 o9oon4nt stunnes,0.75,3
by the end of the semester i will be grading a stack of essays,hh the ens of35h4 fem63t45 i 3ikk1be h5a3inh a 3t8ckhof ef3ahs,0.5645161290322581,4
the author was conducting research for his next historical fiction novel,the autho5 3as6con3uc5ing re3earch fo5 his nect histo5icak fiction novek,0.8472222222222222,3
aidriven dynamic pricing will adjust in realtime,ais5iv4n fhn8mic 95icinh 3ikk5afjus5 in 56ak5im4,0.5833333333333334,2
facial recognition systems will enhance public safety measures,faciakt54cognitionisy3tems 3ikk enhance ohbkic fafeth measu5es,0.7580645161290323,2
the cars radio antenna got bent,the ca5f 5a3io 8ntenna hot h4nt,0.7419354838709677,1
we repaired a dent in the rear bumper,3e 5eiai54d 8 fent in the 5ea5 hhmoer,0.6756756756756757,2
incident response teams are swiftly addressing security breaches as they occur,incisent 5es9on3e teams ar4fs3i3tkh afsressing secu5ity b54ach4fqas theyfoccur,0.7564102564102564,2
deep learning models will have been assisting in wildlife tracking and conservation,se69 kea5ninh modeks 3ikk h8ve heeni8fsis5int in 3ikfki3e t5ackinh68ns cons45vation,0.6506024096385542,2
engineers will have been finetuning the network infrastructure for months,enginee5s 3ikkjhave h44n fin6tuninh th6 net3o5k inf5as55uctu5e for months,0.7671232876712328,1
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,v5 technokohief have been itikizef in the5aiy fo5 infivifu8ks 3ith afhf 95ovifinh focusenhancinh ekieri4nce3,0.7592592592592593,3
chatgpt will be evolving continuously,ch8th9t 3ikk be 4vokvinh con5inuoufky,0.6756756756756757,2
they had been charging their ipad overnight before it stopped holding a charge,5hey has heen cha5hint thei5 i9af ov65nihht hefo5e i5 stoiief hoksinh 86cha5he,0.6794871794871795,1
scholars studied the engineering techniques used to build the pyramid,schoka5s stifief the enhinee5ing techniqu4s used to huiks th4r9y5ami3,0.7681159420289855,3
they have been sharing interesting articles on facebook lately,theh hav4oh6en sha5inh in5e5esting a5tickes on fac6book k8tekh,0.7419354838709677,2
students will have been accessing educational resources from anywhere in the world,stifents 3ikk have he6n accessinh efucationak 563ources f5om anhhhe5e in the ho5k3,0.7439024390243902,3
fighters are overcoming injuries to compete at the highest level,fihhters a5e ove5cominhain6u5i4s to com94te at th6 hihheft kev4k,0.75,3
