True Sentence,Predicted Sentence,Accuracy,Wrong syllables
in the future sustainable transportation options will still be sought to ease congestion,in ths futurd sustainable transportation options will still bsjsought to ease congestion,0.9545454545454546,2
china has been actively involved in peacekeeping missions and humanitarian efforts,china has been actively involved in1peacekeeping missions and humanitarian efforts,0.9878048780487805,1
educational diversity is a hallmark of foreign academic institutions,educational diversity is a hallmarksof forzign academic institutions,0.9705882352941176,1
the coach substituted an underperforming player,the coach substituted anhunderperformgng plauer,0.9361702127659575,1
female scientists have played crucial roles in the development of personalized cancer treatments,female scientists have played crucial roles in the dzvelopment of pzrsonalizsd cancer treatments,0.96875,2
aienhanced agricultural robotics will have been automating various farming tasks,aiznhanced agricultural robotics will have been automating various farming tasks,0.9875,1
the sun had been hanging low in the sky as they watched the sunset from the hilltop,the sun had been hanging low in0the sky as theykwatcged 5he sunset from the hilltop,0.9518072289156626,2
by next winter snowy conditions will still be causing traffic disruptions,by next wintsr snowy conditiobs will still be causing traffic disruptions,0.9726027397260274,2
scientists will have been developing more efficient methods of sperm selection through assisted reproductive technology,scientists will havevbeen developing mord efficient methods ofzsperm selection through assistzd reproductive technology,0.9663865546218487,4
by the time the new semester starts students will have been preparing with online tutorials,by thr timr th3 new semester starts studrnts will haveqbrsn preparing with onlinz tutorials,0.9120879120879121,4
influencers will collaborate with brands on shoppable content experiences,influencersfwill collaborate with brands on4sh0ppable content wxprriences,0.9315068493150684,3
carbon offset programs will encourage individuals and businesses to mitigate their pollution,carbon offset programs will encourage individuals and businesses 5o mitigate their pollution,0.9891304347826086,1
version control systems like git help track changes in web development projects,vsrsion control systzms like git help trackfchanges in webjdevelopment projects,0.9493670886075949,4
developers will have created immersive virtual tourism experiences with amorphous computing by 2049,developers sill have created immzrsive virtual tourism experiepces withcamorphous computing by 2049,0.9595959595959596,3
the fishermen had caught a variety of fish including bass and perch,the fishermenbhad caught anvarietyxoftfish including bass and7perch,0.9253731343283582,3
fighters are promoting environmental sustainability initiatives,fighters are promoting environmentalxsustainability initiatives,0.9841269841269841,1
she served an ace down the line leaving her opponent stunned,she served an ace down the line leaving her opponzntustunnzd,0.95,1
by the end of the semester i will be grading a stack of essays,by thecend of thessemester i will be grading a stack of essays,0.967741935483871,2
the author was conducting research for his next historical fiction novel,thd author was conducting research for his next historical fiction novel,0.9861111111111112,1
aidriven dynamic pricing will adjust in realtime,aidriveb dynamic pricing will adjust3ip rzaltime,0.9166666666666666,2
facial recognition systems will enhance public safety measures,facial recognitionjsystems willdenhance piblic safety measures,0.9516129032258065,1
the cars radio antenna got bent,the cars radio antenna4got bent,0.967741935483871,1
we repaired a dent in the rear bumper,we repaired a dent in3the rear bumper,0.972972972972973,1
incident response teams are swiftly addressing security breaches as they occur,incidznt rssponse teams are swiftlyraddressing security breaches as they occur,0.9615384615384616,2
deep learning models will have been assisting in wildlife tracking and conservation,dsep learningdmodels willzhavr been assisting in wildlife tracking and conservation,0.9518072289156626,1
engineers will have been finetuning the network infrastructure for months,engineejs will have bzen finetuning the network infrastructure for months,0.9726027397260274,2
vr technologies have been utilized in therapy for individuals with adhd providing focusenhancing experiences,vr tachnologias have beenxutilized in therapy for individuals with adhd9providing focusenhancing rxperiencqs,0.9444444444444444,4
chatgpt will be evolving continuously,chatgpt2will be evolving continuously,0.972972972972973,1
they had been charging their ipad overnight before it stopped holding a charge,they had besn charging their ipad overniiht beforemit stopped holding a charge,0.9615384615384616,2
scholars studied the engineering techniques used to build the pyramid,scholars studied the engineering techniques used to build the pyramid,1.0,0
they have been sharing interesting articles on facebook lately,they have been sharing interesting articleskon facebook lately,0.9838709677419355,1
students will have been accessing educational resources from anywhere in the world,students will have bzennaccessing educational rzsources from anywhere in therworld,0.9512195121951219,3
fighters are overcoming injuries to compete at the highest level,fighters are overcom9ng ipjuries to compete at thexhighest lrvel,0.9375,2
designers have integrated rainwater management systems to control runoff and erosion,designers havs integrated rainwater managemzpt systems toycontrol runoff2and erosion,0.9404761904761905,3
upandcoming promotions are leveraging blockchain for transparent and secure transactions,upandcoming promotions are leverafing blockchain for transparsnt and sscurejtransactions,0.9545454545454546,3
she had prepared a fish en papillote with vegetables and herbs,she had preparzd a fish en papillote with vdgetables andwherbs,0.9516129032258065,2
efforts to eliminate genderbased stereotypes in media representation have been ongoing,efforts to eliminafa gznderbaseddstereotypes in media representation have been ongoing,0.9534883720930233,1
he used to drink several cups of coffee a day but cut back on caffeine,he used0to drink several cups of coffee a day but cut back on caffeine,0.9857142857142858,1
she smashed the shuttlecock crosscourt leaving her opponent stranded,she smashed the shuttlec0ck crosscourt leaving her opponezt stranddd,0.9558823529411765,2
by next year they will have been practicing yoga for eight years,by nextsyear they will have bzen practicing7yoga forheight7years,0.921875,2
vr has been utilized in therapy for individuals with eating disorders promoting positive body image,vrwhas been utilized in therapy9eor individuals with eating disorders promotingdpositive body image,0.9595959595959596,3
the chef had cooked a seafood paella with saffroninfused rice and chorizo,the chef had cooked a ssafood paella with saffroninfused rice and chorizo,0.9863013698630136,1
in a month they will have been studying marine biology for six years,in apmonth they 3ill have been studying marine biology for six years,0.9705882352941176,2
developers have created games that promote positive social interactions and cooperation,developers havd created games that promotw positive social interaxtions and cooperation,0.9655172413793104,3
he attended a lecture series on islamic jurisprudence at the mosque,he attended a lecturewseries onbislamic jurisprudence at thr mosque,0.9552238805970149,2
scientists are developing methods for the selective functionalization of molecules,scientists are developing methods forxthe selective functionalization of moldcules,0.975609756097561,2
in the future robotic surgical systems will have been empowering surgeons to perform increasingly complex procedures,in the future rob0ticmsurgical systems will have been empowsring sufgrons to6perform increasingly complex procedures,0.9482758620689655,2
they were sleeping with the curtains drawn to block out the light,they wrre sleeping with thf curtains dfawn to block out the light,0.9538461538461539,3
farmer cooperatives play a vital role in negotiating fair prices for agricultural products,farmer cooperatives play a vital role in nrgotiating fair prices for agricultural products,0.9888888888888889,1
they had practiced various badminton techniques with precision,they had practiced various badminton techniques with precision,1.0,0
over the years women scientists have made significant contributions to astronomy,over7ths years women scizntists havejmade significapt contributions to astronomu,0.925,3
arpowered navigation will guide shoppers to specific products,arpowered navigation will guide shoppers to specific0products,0.9836065573770492,1
the judiciary imposes penalties on convicted corrupt individuals,the judiciary imposes penalties on convicted corrupt individuals,1.0,0
international collaborations have been addressing issues of refugee displacement and migration for lasting peace,international collaborations have bezn addressing issues of refugqe displacsment and migration for lasting prace,0.9642857142857143,3
agricultural cooperatives facilitate joint procurement of inputs and marketing of products,agricultural coopdratives facilitatd joint pr0curement of rnputs and marketing of products,0.9555555555555556,3
many youtubers have been using the platform to raise awareness about social issues,many youtubers havs been using the platform t0 raise5awardness about social issues,0.9512195121951219,2
next year i will be cutting down on my consumption of saturated fats,next urar iswill be cutting down on my consumptionwof saturated fats,0.9411764705882353,2
the telescope detected the presence of a dust disk around a young star,the telrscope detectrd the presence of a dust disk around a youpg star,0.9571428571428572,2
chatbots will assist with postpurchase support,chatbots will assist wi5h postpurchase support,0.9782608695652174,1
he lost control of the vehicle and veered off the road,he lost control of the vshicle and veered off the road,0.9814814814814815,1
i was sleeping with my arms wrapped around a pillow,i0was sleeping with2my arms wrapped around a pillow,0.9607843137254902,2
researchers have been studying the concept of dna hybridization a technique used for detecting specific dna sequences,researchers have bden studying thetconxept of dna hybridization a technique used for detecting specific dna sesuences,0.9658119658119658,3
students build a diverse network of friends and colleagues during foreign education,studenus build a diverse netw0rk of friends and colleagues during foreifn education,0.963855421686747,3
influencers will become educators providing insights and expertise to their followers,influencers will become edulators providing insights and expertise to thsir followers,0.9764705882352941,2
storytelling through data visualization will engage audiences on a deeper level,storytelling through data visualization will engage audiencdszon azdespervlevel,0.9367088607594937,1
many have been incorporating balance exercises into their routines for stability,manyjhave besn gncorporating balance exdrcisss into their routines for stability,0.9375,2
in the next age robotassisted surgery will have been pushing the boundaries of what is achievable,in the next age robotassisted surgery will have been pushing the boundarizs of phat is achievable,0.979381443298969,2
i have been updating my facebook story highlights with memorable moments,i have been updatingvmy facebook story highlights with memorable moments,0.9861111111111112,1
quantum physicists will be experimenting with quantum teleportation of complex systems,quantum physicists will be experimenting with quantum trleportation of complexusystems,0.9767441860465116,2
we were analyzing the impact of a novel on social consciousness,we were analyzing theoimpact of a novel on social consciousness,0.9841269841269841,1
they celebrated each others successes with genuine happiness,they celsbrated zach others successds with gebuine happiness,0.9333333333333333,3
virtual assistants will integrate with wearable devices to provide onthego assistance,virtual assistants willsintegrate with wearablekdrvicss topprovide onthego assistance,0.9411764705882353,2
ethical hackers will simulate advanced persistent threats to test defenses,ethical hackers will simulats advanced persistentcthreats to test ddfanses,0.9459459459459459,3
she thanked her friend for always being a good listener,she thanked her friend for6always being a io0d listenzr,0.9272727272727272,2
property managers have implemented green building practices for sustainable property management,property managerswhavd implemented green building practices for sustainable property management,0.9789473684210527,1
the team will have been collaborating with external partners for a long time,tfe team will have been collaborating with external partners for a long time,0.9868421052631579,1
they had organized a fundraiser to build a playground for children with disabilities,they had organizedja fubdraiswr to build a playground for children with disabilities,0.9642857142857143,1
by next semester the platform will have been incorporating virtual field trips,by nrxtgsemrster the platform wilk have besn incorporating virtual field trips,0.9358974358974359,3
they had enjoyed a seafood platter with crab legs shrimp and oysters,thry had snjoyedja seafood platter with crab legs shrimp and oysters,0.9558823529411765,2
they were discussing the relevance of a classic novel in modern society,they wsre discussing thevrelevanxe of a classic novel insmodern society,0.9436619718309859,3
the algorithm has been prioritizing highquality and engaging content,the algorithm has been prioritizing highquality and engaging content,1.0,0
the historic town of safranbolu is known for its wellpreserved ottoman architecture,thz historic town of safranbolt is known for its3wellpreserved ottoman architextuee,0.9397590361445783,4
people have been experimenting with different reading formats such as graphic novels and digital storytelling,peopme have been zxperimznting with different reading formats suchfaspgraphic novdls and digital storytelling,0.944954128440367,3
they had been lounging on the sundrenched beach soaking up the rays,they6had been lounging on the sundrenchedlbeach soaking up the rays,0.9701492537313433,2
it will be assisting in wildlife conservation efforts,it willebe assisting in wildlife conservation efforts,0.9811320754716981,1
the players had competed with determination and sportsmanship,the players had competed with determination and sportsmanship,1.0,0
subsea cables will connect continents for global communication,subsea cables will xonnect c0ntinents for global communication,0.967741935483871,1
the pyramids construction employed a workforce of skilled craftsmen,the pyramids construction employed a workforce of skulldd craftsmen,0.9701492537313433,1
it will be providing valuable insights,it will be providing valuable insights,1.0,0
advancements in energyefficient building materials have improved insulation and reduced energy consumption,advancemsnts jn energyefficient building6materials havr improvrd insulation and reduczd energy consumption,0.9433962264150944,3
environmental chemists are developing methods for water purification,environmental chrmists are dzveloping methods for water purification,0.9705882352941176,2
governments have implemented incentives for the installation of residential solar panels,govarnments have implsmented incentives for the installation of jesidsntial solar panels,0.9545454545454546,3
many medical professionals have utilized vr for surgical training enhancing precision and expertise,many medical professionals have utilized vr for surgical training fnhancing pr3cision and expertisd,0.9696969696969697,2
biomedical text mining will have contributed to the identification of disease subtypes by 2043,biomedical0textkmining will have contributed to the identifilation of8disease subfypes by 2043,0.9468085106382979,2
scientists will have integrated multimodal data sources into biomedical text mining frameworks by 2032,scidntists will have integfated multimodal data sources into biomedical text minungyframeworks by 2032,0.9607843137254902,3
in the upcoming weeks i will be mindful of balancing my macronutrient intake,in7the upcomingzweeks i will be mindful of balancing my macronutridnt intake,0.9605263157894737,2
peace education programs have been continuously promoting understanding and empathy,peace education programs have been continuously promoting understanding and empathu,0.9879518072289156,1
he had savored a fishermans stew with a tomato and herb broth,he3had savored a fishermans stzw withfa tomsto andyherb broth,0.9180327868852459,2
