True Sentence,Predicted Sentence,Accuracy,Wrong syllables,LLM Sentence,LLM Accuracy,LLM Wrong syllables
by 2480 genetic engineers will have created organisms capable of surviving in space without life support,by 2480 geneticlengineers will have createf organisms ca9able of surviving inbspace withoutflife suiiort,0.9326923076923076,4,by 2480 genetic engineers will have created organisms capable of surviving in space without life support,1.0,0
by 2510 the local government will have been investing in green infrastructure for generations,vy 2510 the local government will have been investing in freen infrastructure for generations,0.978494623655914,2,by 2520 the local government will have been investing in green infrastructure for generations,0.989247311827957,1
fully automated factories will have become the standard by 2040,fully automated factories will have become the standard by 1040,0.984126984126984,1,fully automated factories will have become the standard by 2040,1.0,0
researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,researchersuwill have unlockef new insights into cotnitive com9uting with amorphous comiuting by 2049,0.9504950495049505,4,researchers will have unlocked new insights into cognitive computing with amorphous computing by 2049,1.0,0
by 2210 education will have been a seamless blend of physical and virtual realities,by 2210 education will have been ajseamless blend of 9hysical and virtual realities,0.9759036144578314,2,by 2210 education will have been a seamless blend of physical and virtual realities,1.0,0
companies will have adopted amorphous computing solutions across industries by 2032,comianiesptill have ado9ted amorphous comiutint solutions across industries byo2031,0.9036144578313252,4,companies will have adopted amorphous computing solutions across industries by 2031,0.9879518072289156,1
by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,by 1045 the healthcare infustry will have been leverafing interoperable information for over three fecades,0.9622641509433962,4,by 2045 the healthcare industry will have been leveraging interoperable information for over three decades,1.0,0
by 2650 digital literacy will have become universal bridging the digital gap,by 1650 difitalqliteracy will have become universal brifgint the figital gai,0.9078947368421052,3,by 2650 digital literacy will have become universal bridging the digital gap,1.0,0
by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,by 2048 smart grif technoloties will have been oitimizing energy distribution through datadriven information interoierability for thirty years,0.971830985915493,3,by 2048 smart grid technologies will have been optimizing energy distribution through datadriven information interoperability for thirty years,1.0,0
communities will have embraced digital technology as a catalyst for progress by 2470,communities will have embraced digital technology as a catalyst for irogress by 2470,0.988095238095238,1,communities will have embraced digital technology as a catalyst for progress by 2470,1.0,0
by 2040 elm will have become a mainstream choice for building frontend web applications,by 2040 elm till havexbecome a mainstream choice for buildint frontend teb a99lications,0.9310344827586208,3,by 2040 elm will have become a mainstream choice for building frontend web applications,1.0,0
by 2050 artificial intelligence will have been continuously evolving for several decades,by 2050 artificial0intelligence will have been continuously evolvint for several decades,0.9772727272727272,2,by 2050 artificial intelligence will have been continuously evolving for several decades,1.0,0
by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,by 2049 amorihous comiuting will have facilitated breakthrouths in neurotechnology,0.9634146341463414,2,by 2049 amorphous computing will have facilitated breakthroughs in neurotechnology,1.0,0
by 2130 aipowered education systems will have been tailored to each students learning style,by 2130waiioteref education systems will have been tailored to each stufents learning style,0.945054945054945,2,by 2130 aioperated education systems will have been tailored to each students learning style,0.9726775956284153,1
researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,researchers will have emiloyed continualplearning techniques to adapt biomedical text mining mofels over time by 2043,0.9743589743589745,2,researchers will have employed continual learning techniques to adapt biomedical text mining models over time by 2043,1.0,0
by 2950 every individual will have equal opportunities in the digital realm,vy 2950 everyaindividual2will have equal oiiortunities in thehfigital realm,0.9066666666666666,4,by 2040 every individual will have equal opportunities in the digital realm,0.9733333333333334,1
quantum computing will have decrypted complex codes by 2040,quantum com9utinf tillnhave fecryited com9lex codes by 2040,0.8813559322033898,1,quantum computing will have decrypted complex codes by 2040,1.0,0
by 2220 floating cities will utilize innovative filtration systems to sustain clean water supplies,by 2210gfloating cities will utilize innovative filtration systems to sustain clean water su99lies,0.9591836734693876,2,by 2210 floating cities will utilize innovative filtration systems to sustain clean water supplies,0.9897959183673469,1
by 2220 ai will have been deeply integrated into the fabric of education,by 1220 aibwillghave been deeily integrated into the favric of education,0.9305555555555556,3,by 2220 ai will have been deeply integrated into the fabric of education,1.0,0
by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,by 2050 3d irintint technology will have advanced9togthe 9oint of irintinf fully functional human organs,0.9326923076923076,3,by 2050 3d printing technology will have advanced to the point of printing fully functional human organs,1.0,0
efforts to close the digital gap will have borne fruit by 2060,efforts to close the digital faiswill have borne fruit by 2060,0.9516129032258064,1,efforts to close the digital divide will have borne fruit by 2060,0.9291338582677166,1
by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,by 2046 smart traffic management systemskwill have been oitimizing urvan mobility throufh interconnected information8systemsvfor thirty years,0.9574468085106383,4,by 2046 smart traffic management systems will have been optimizing urban mobility through interconnected information systems for thirty years,1.0,0
access to digital resources will have become a cornerstone of development by 2760,access to digital resources will have becomega cornerstonedof develoiment by 2760,0.9629629629629628,1,access to digital resources will have become a cornerstones of development by 2760,0.9938650306748467,1
engineers will have integrated amorphous computing into urban planning systems by 2046,engineersywill have integratef amorphous com9uting into urbano9lannint systems vy 2046,0.9186046511627908,5,engineers will have integrated amorphous computing into urban planning systems by 2046,1.0,0
by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,by 2045 knowlefge fistillation techniques will have com9ressef complex models for efficient viomedical tect mining,0.9473684210526316,3,by 2045 knowledge distillation techniques will have compressed complex models for efficient biomedical text mining,1.0,0
biomedical text mining will have played a crucial role in personalized medicine by 2030,biomedical text mining till haveuilayed3a crucial role in personalized medicine by 2030,0.9540229885057472,1,biomedical text mining will have played a crucial role in personalized medicine by 2030,1.0,0
by 2100 humans will have mitigated some of the negative impacts of evolutionary mismatches,by52100 humans will have mitigated some of the negative im9acts of evolutionarygmismatches,0.9666666666666668,3,by 2200 humans will have mitigated some of the negative impacts of evolutionary mismatches,0.9888888888888889,1
by 2130 deep learning will have been enhancing global communication networks,by 2130 feep learning will have been enhancing global communication networks,0.986842105263158,1,by 2230 deep learning will have been enhancing global communication networks,0.9868421052631579,1
by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,by 2500 centralized ict iolicies till have veen addressing ethical1concerns in artificial intelligence,0.9607843137254902,3,by 2500 centralized ict policies will have been addressing ethical concerns in artificial intelligence,1.0,0
investments in digital infrastructure will have created a level playing field by 2420,investments in digital infrastructure will have created a level playing field by 2420,1.0,0,investments in digital infrastructure will have created a level playing field by 2420,1.0,0
